Current_Official_Name_of_Satellite,Country_Org_of_UN_Registry,Country_of_Operator_Owner,Operator_Owner,Users,Purpose,Detailed_Purpose,Class_of_Orbit,Type_of_Orbit,Longitude_of_GEO_in_Degrees,Perigee_in_Km,Apogee_Km,Eccentricity,Inclination_in_Degrees,Period_in_Minutes,Launch_Mass_in_Kg,Dry_Mass_in_Kg,Power_in_Watts,Date_of_Launch,Expected_Lifetime_Yrs,Contractor,Country_of_Contractor,Launch_Site,Launch_Vehicle,COSPAR_Number,NORAD_Number,Source Used for Orbital Data
1HOPSAT,NR (12/20),USA,Hera Systems,Commercial,Earth Observation,Technology Development,LEO,Non-Polar Inclined,0.00,566,576,0.00,36.90,96.08,22,,,12/11/2019,0.50,Hera Systems,USA,Satish Dhawan Space Centre,PSLV,2019-089H,44859,JMSatcat/3_20
3Cat-1,NR,Spain,Universitat Politècnica de Catalunya,Civil,Technology Development,,LEO,,0.00,476,500,0.00,97.40,95.00,4,,,11/29/2018,,Universitat Politècnica de Catalunya,Spain,Satish Dhawan Space Centre,PSLV,2018-096K,43728,Estimated
Aalto-1,Finland,Finland,Aalto University,Civil,Technology Development,,LEO,,0.00,497,517,0.00,97.45,94.70,5,,4.5,6/23/2017,2.00,Aalto University,Finland,Satish Dhawan Space Centre,PSLV,2017-036L,42775,JMSatcat/10_17
AAUSat-4,Denmark,Denmark,University of Aalborg,Civil,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.00,442,687,0.02,98.20,95.90,1,,,4/25/2016,,University of Aalborg,Denmark,Guiana Space Center,Soyuz 2.1a,2016-025E,41460,Space50
ABS-2,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,75.00,35778,35793,0.00,0.08,1436.03,6330,,"16,000",2/6/2014,15.00,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2014-006A,39508,ZARYA
ABS-2A,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,-75.00,35700,35700,0.00,0.00,1436.10,1800,,,6/15/2016,15.00,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2016-038A,41588,Estimated
ABS-3A,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,-3.00,35788,35803,0.00,0.10,1436.00,2000,,,3/2/2015,15.00,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2015-010A,40424,
ABS-4,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,75.00,35780,35793,0.00,0.01,1436.10,4143,1700,"7,400",3/13/2004,12.00,Space Systems/Loral,USA,Cape Canaveral,Atlas 3,2004-007A,28184,JM/12_08
ABS-6,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,159.00,35777,35794,0.00,0.01,1436.08,2894,1730,"6,800 (EOL)",9/26/1999,15.00,Lockheed Martin,USA,Baikonur Cosmodrome,Proton,1999-053A,25924,JM/12_08
ABS-7,South Korea,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,116.18,35780,35791,0.00,0.01,1436.06,3500,1800,"4,800",9/4/1999,15.00,Lockheed Martin Astro Space,USA,Guiana Space Center,Ariane,1999-046A,25894,JM/12_08
USA 311,NR (12/20),USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,,35700,35800,0.00,0.00,1437.60,5400,,,12/11/2020,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2020-095A,47237,Estimated
USA 139,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,-26.00,35560,36013,0.01,7.72,1436.14,5200,,,5/9/1998,,TRW Space and Electronics,USA,Cape Canaveral,Titan IVA,1998-029A,25336,JM/12_08
USA 171,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,68.00,35589,35984,0.00,3.20,1436.10,5200,,,9/9/2003,,TRW Space and Electronics,USA,Cape Canaveral,Titan IV,2003-041A,27937,JM/12_08
USA 202,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,44.00,35714,35937,0.00,2.89,1438.80,5400,,,1/18/2009,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2009-001A,33490,SC - ASCR
USA 223,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,95.00,35500,35500,0.00,0.00,1436.00,5000,,,11/21/2010,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2010-063A,37232,SC - ASCR
USA 237,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,60.00,35771,35805,0.00,0.00,1436.10,5000,,,6/29/2012,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2012-034A,38528,CalSky
USA 268,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,102.60,35613,35903,0.00,7.51,1437.19,5000,,,6/11/2016,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2016-036A,41584,ZARYA
USA 235,USA,USA,US Air Force,Military,Communications,,GEO,,-120.00,35772,35801,0.00,2.34,1436.10,6169,,,5/3/2012,14.00,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2012-019A,38254,ZARYA
USA 246,NR,USA,US Air Force,Military,Communications,,GEO,,152.10,35700,35803,0.00,4.20,1436.10,6169,,,9/18/2013,14.00,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2013-050A,39256,ZARYA
USA 288,USA,USA,US Air Force,Military,Communications,,GEO,,150.20,35781,35790,0.00,0.05,1436.10,6169,,,10/17/2018,,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2018-079A,43651,JMGEO/11_19)
USA 292,USA,USA,US Air Force,Military,Communications,,GEO,,-94.39,35780,35810,0.00,6.40,1436.20,6169,,,8/8/2019,,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2019-051A,44481,JMGEO/11_19)
USA 298,USA,USA,US Air Force ,Military,Communications,,GEO,,0.00,35780,35780,0.00,0.00,1436.00,6169,,,3/26/2020,,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2020-022B,45465,Estimated
Aeneas,USA,USA,Department of Homeland Security,Government,Technology Development,,LEO,Equatorial,0.00,480,790,0.02,0.02,97.40,3,,,9/13/2012,,University of Southern California,USA,Vandenberg AFB,Atlas 5,2012-048C,38760,ZARYA
Aeolus,ESA,ESA,European Space Agency (ESA),Government,Earth Observation,Earth Science,LEO,,0.00,314,317,0.00,96.70,92.40,1367,,,8/22/2018,3.00,Airbus Defense and Space,France/UK/Germany/Spain,Guiana Space Center,Vega,2018-066A,43600,JMSatcat/11_18
Aerocube 10A,USA,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.00,469,481,0.00,51.60,94.15,2,,,8/9/2019,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-022D,44485,JMSatcat/11_19
Aerocube 10B,USA,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.00,471,483,0.00,51.60,94.15,2,,,8/9/2019,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-022C,44484,JMSatcat/11_19
