LOCATION,Country,INDICATOR,Indicator,MEASURE,Measure,INEQUALITY,Inequality,Unit Code,Unit,Value
AUS,Australia,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,5.4
AUT,Austria,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,3.5
BEL,Belgium,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,3.7
CAN,Canada,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,6
CZE,Czech Republic,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,3.1
DNK,Denmark,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,4.2
FIN,Finland,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,3.9
FRA,France,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,7.6
DEU,Germany,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,2.7
GRC,Greece,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,29.8
HUN,Hungary,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,4.7
ISL,Iceland,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0.7
IRL,Ireland,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,7.8
ITA,Italy,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,12.3
JPN,Japan,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,1.4
KOR,Korea,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,2.6
LUX,Luxembourg,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,1.7
MEX,Mexico,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,5.5
NLD,Netherlands,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,4.8
NZL,New Zealand,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,4.7
POL,Poland,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,5.7
PRT,Portugal,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,10
