Publication,Year Launched,Age (Years)
 The Guardian,1821,200
 The Sunday Times,1821,200
 Le Figaro,1826,195
 Aftonbladet,1830,190
 The Economist,1843,178
 Chicago Tribune,1847,173
 NYT,1852,169
 The Telegraph,1855,166
 The Atlantic,1857,164
 Aftenposten,1860,160
 Dagens Nyheter,1864,157
 Star Tribune,1867,154
 Dagbladet,1869,152
 La Nacion,1870,151
 The Boston Globe,1872,149
 Corriere Della Sera,1876,145
 Washington Post,1877,144
 Nikkei.com,1876,144
 LA Times,1881,140
 Financial Times,1888,133
 Wall Street Journal,1889,132
 Helsingin Sanomat,1889,132
 Folha de S.Paulo,1921,100
 The New Yorker,1925,96
 The Globe and Mail,1936,85
 Le Monde,1944,77
 Clarin,1945,76
 VG,1945,76
 L'equipe,1946,75
 Welt,1946,75
 Bild,1952,69
 Wyborcza,1989,32
 Game Informer,1991,30
 Wired,1993,28
 Business Insider,2007,14
 Mediapart,2008,13
 Caixin,2009,12
 The Athletic,2016,5
