country	gender	percent
TOTAL	m	55.38538040775733
TOTAL	f	44.537543510691194
AFG	m	51.682692307692314
AFG	f	47.83653846153847
ALB	m	64.03940886699507
ALB	f	35.960591133004925
DZA	m	65.54621848739495
DZA	f	34.45378151260504
AND	m	64.51612903225806
AND	f	35.483870967741936
AGO	m	55.952380952380956
AGO	f	44.047619047619044
AIA	m	58.69565217391305
AIA	f	41.30434782608695
ATG	m	48.64864864864865
ATG	f	51.35135135135135
ARG	m	69.01515151515152
ARG	f	30.984848484848488
ARM	m	50.92592592592593
ARM	f	49.074074074074076
ABW	m	93.32273449920508
ABW	f	6.677265500794912
AUS	m	44.45479420154858
AUS	f	55.54520579845141
AUT	m	58.36575875486382
AUT	f	41.63424124513619
AZE	m	63.57142857142857
AZE	f	36.42857142857142
BHS	m	48.10126582278481
BHS	f	51.89873417721519
BHR	m	52.74725274725275
BHR	f	47.25274725274725
BGD	m	65.9090909090909
BGD	f	34.090909090909086
BRB	m	41.935483870967744
BRB	f	58.06451612903226
BLR	m	58.139534883720934
BLR	f	41.3953488372093
BEL	m	59.4847775175644
BEL	f	40.5152224824356
BLZ	m	47.05882352941176
BLZ	f	52.94117647058824
BEN	m	60.86956521739131
BEN	f	39.130434782608695
BMU	m	50.0
BMU	f	50.0
BTN	m	83.33333333333334
BTN	f	16.666666666666664
BOL	m	64.55696202531645
BOL	f	35.44303797468354
BIH	m	49.35064935064935
BIH	f	50.649350649350644
BWA	m	50.0
BWA	f	50.0
BRA	m	64.44906444906445
BRA	f	35.550935550935556
BRN	m	60.0
BRN	f	40.0
BGR	m	49.56140350877193
BGR	f	50.43859649122807
BFA	m	66.66666666666666
BFA	f	33.33333333333333
BDI	m	66.66666666666666
BDI	f	33.33333333333333
KHM	m	80.95238095238095
KHM	f	19.047619047619047
CMR	m	64.51612903225806
CMR	f	35.483870967741936
CAN	m	55.31106745252128
CAN	f	44.67583497053045
CPV	m	76.92307692307693
CPV	f	23.076923076923077
CYM	m	87.5
CYM	f	12.5
CAF	m	33.33333333333333
CAF	f	66.66666666666666
TCD	m	33.33333333333333
TCD	f	66.66666666666666
CHL	m	59.157754010695186
CHL	f	40.842245989304814
CHN	m	45.994599459945995
CHN	f	54.005400540054005
COL	m	58.70445344129555
COL	f	41.29554655870445
COM	m	28.57142857142857
COM	f	71.42857142857143
COG	m	35.714285714285715
COG	f	64.28571428571429
COK	m	75.0
COK	f	25.0
CRI	m	57.19298245614035
CRI	f	42.80701754385965
HRV	m	46.64179104477612
HRV	f	53.35820895522389
CUB	m	66.66666666666666
CUB	f	33.33333333333333
CYP	m	81.11111111111111
CYP	f	18.88888888888889
CZE	m	60.42780748663101
CZE	f	39.57219251336899
CIV	m	71.42857142857143
CIV	f	28.57142857142857
PRK	m	43.75
PRK	f	56.25
COD	m	65.0
COD	f	35.0
DNK	m	59.104781281790444
DNK	f	40.89521871820956
DJI	m	40.0
DJI	f	60.0
DMA	m	50.0
DMA	f	50.0
DOM	m	60.8
DOM	f	39.2
ECU	m	63.4020618556701
ECU	f	36.08247422680412
EGY	m	73.2620320855615
EGY	f	26.737967914438503
SLV	m	61.25000000000001
SLV	f	38.75
GNQ	m	50.0
GNQ	f	50.0
ERI	m	75.0
ERI	f	25.0
EST	m	52.94117647058824
EST	f	47.05882352941176
ETH	m	53.84615384615385
ETH	f	46.15384615384615
EU	m	52.0
EU	f	48.0
FRO	m	45.45454545454545
FRO	f	54.54545454545454
FJI	m	69.56521739130434
FJI	f	30.434782608695656
FIN	m	50.62006764374295
FIN	f	49.379932356257044
MKD	m	67.64705882352942
MKD	f	32.35294117647059
FRA	m	47.49284558915018
FRA	f	52.50715441084982
GUF	m	33.33333333333333
GUF	f	66.66666666666666
GAB	m	54.54545454545454
GAB	f	45.45454545454545
GMB	m	60.0
GMB	f	40.0
GEO	m	60.317460317460316
GEO	f	39.682539682539684
DEU	m	58.17212935250748
DEU	f	41.820570844587195
GHA	m	52.94117647058824
GHA	f	47.05882352941176
GIB	m	55.55555555555556
GIB	f	44.44444444444444
GRC	m	59.008579599618685
GRC	f	40.991420400381315
GRL	m	40.0
GRL	f	60.0
GRD	m	25.0
GRD	f	75.0
GTM	m	64.42307692307693
GTM	f	35.57692307692308
GGY	m	58.333333333333336
GGY	f	41.66666666666667
GIN	m	72.72727272727273
GIN	f	27.27272727272727
GNB	m	50.0
GNB	f	50.0
GUY	m	55.55555555555556
GUY	f	44.44444444444444
HTI	m	57.14285714285714
HTI	f	42.857142857142854
HND	m	60.65573770491803
HND	f	39.34426229508197
HKG	m	47.368421052631575
HKG	f	52.63157894736842
HUN	m	56.462035541195476
HUN	f	43.537964458804524
ISL	m	55.494505494505496
ISL	f	44.505494505494504
IND	m	78.43137254901961
IND	f	21.568627450980394
IDN	m	62.5
IDN	f	37.5
IRQ	m	70.27027027027027
IRQ	f	29.72972972972973
IRL	m	61.79624664879356
IRL	f	38.20375335120643
IRN	m	80.94059405940595
IRN	f	18.81188118811881
IMN	m	73.33333333333333
IMN	f	26.666666666666668
ISR	m	71.84959349593495
ISR	f	28.15040650406504
ITA	m	58.50900728248371
ITA	f	41.49099271751629
JAM	m	57.89473684210527
JAM	f	42.10526315789473
JPN	m	45.537340619307834
JPN	f	54.40194292653309
JEY	m	50.0
JEY	f	50.0
JOR	m	71.9298245614035
JOR	f	28.07017543859649
KAZ	m	51.006711409395976
KAZ	f	48.99328859060403
KEN	m	55.319148936170215
KEN	f	44.680851063829785
KIR	m	60.0
KIR	f	40.0
KOR	m	54.79704797047971
KOR	f	45.20295202952029
KWT	m	72.72727272727273
KWT	f	27.27272727272727
KGZ	m	54.54545454545454
KGZ	f	45.45454545454545
LAO	m	50.0
