Region,Country,City,Unit,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Africa,Algeria,Algiers,Count,,,21,22,38,47,35,31,40,28,56,64,43,,
Africa,Algeria,Algiers,Rate,,,0.6,0.6,1.1,1.3,1,0.9,1.1,0.7,1.5,1.6,1.1,,
Africa,Botswana,Gaborone,Count,,,,,,,36,,,,,,,,
Africa,Botswana,Gaborone,Rate,,,,,,,16.1,,,,,,,,
Africa,Burundi,BUJUMBURA,Count,,,,,,46,34,21,19,33,40,32,,,
Africa,Burundi,BUJUMBURA,Rate,,,,,,9.3,6.6,4,3.5,5.8,6.9,5.3,,,
Africa,Cabo Verde,Assomada (Santa Catarina),Count,,,,,,,,2,3,5,4,,,,
Africa,Cabo Verde,Assomada (Santa Catarina),Rate,,,,,,,,4.5,6.8,11.2,8.9,,,,
Africa,Cabo Verde,Praia,Count,,,,,,,,16,33,29,26,34,25,,
Africa,Cabo Verde,Praia,Rate,,,,,,,,12.1,24.2,20.7,18.1,23,16.5,,
Africa,Cabo Verde,Sao Vicente,Count,,,,,,,,7,4,9,6,,,,
Africa,Cabo Verde,Sao Vicente,Rate,,,,,,,,8.9,5,11.2,7.4,,,,
Africa,Central African Republic,Bambari,Count,,,,,,,,,,,,,,156,
Africa,Central African Republic,Bambari,Rate,,,,,,,,,,,,,,45.7,
Africa,Central African Republic,Bangui,Count,,,,,,,,,,,,,,128,
Africa,Central African Republic,Bangui,Rate,,,,,,,,,,,,,,10.9,
Africa,Congo,Kinshasa,Count,,,,,,,,163,,,,,,,
Africa,Congo,Kinshasa,Rate,,,,,,,,1.6,,,,,,,
Africa,Egypt,Cairo,Count,,,,75,98,143,137,92,271,372,,,,,
Africa,Egypt,Cairo,Rate,,,,0.7,0.9,1.3,1.3,0.8,2.4,3.2,,,,,
Africa,Eswatini,Manzini,Count,,,,,,,,,,,,,,,14
Africa,Eswatini,Mbabane,Count,,,,,,,,,,,,,,,12
Africa,Eswatini,Nhlangano,Count,,,,,,,,,,,,,,,9
Africa,Ghana,Accra,Count,,,,,,46,48,,,,,,,,
Africa,Ghana,Accra,Rate,,,,,,1.3,1.3,,,,,,,,
Africa,Kenya,Kisumu,Count,,,,,,,,,,,,38,13,26,
Africa,Kenya,Kisumu,Rate,,,,,,,,,,,,4,1.3,2.6,
