country,country_code,Ecological poverty trap,Newly at risk,Emerging risk potential,Emerging risk at higher footprint (Ef<3 gha),post-USSR: contraction and recovery,Countries of Soviet block: contractions,New independent countries since 1960,Severe recession since Financial crisis of 07,Significant wars (including civil wars) since 1960,PIIGS,BRICS,OECD,OPEC countries,League of Arab States,Four Asian Tigers,"Originally low income in 1960, rapid expansion",Largest GDP Contribution (2000-2010),GDP per capita growth rate (10 fastest between 1990-2007),Total natural resources rents over 20% of GDP in 2012,Continuous rapid expansion (over 5% avg.),Continuing recession,Newly industrialized country,"Major net exporter in fossil fuel ([c]oal,[n]atural gas,[o]il )",High fossil fuel consuming (EFcarbon > 40% of EFtotal),Inflation (20 highest in 2015),Population growth (2010-2015 over 2%),EF always larger than Biocapacity,Biocapacity always larger than EF,Per capita EF gradually increasing,Per capita biocapcity gradually declining,Per capita biocapcity increasing,High HDI and low EF,High income and high biocapacity,Low income and low biocapacity,Biocapacity deficit expanding,Biocapacity reserve expanding,High biocapacity and low income,Footprint reductions without resource constraints,"Low biocapacity, slow expansion and low income",From biocapacity reserve to deficit between 1961 and today,City states,With Dependent Territory,Oversea territory
Afghanistan,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Albania,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Algeria,4,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,n,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
Angola,7,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,o,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Armenia,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Aruba,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,c,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Austria,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
Azerbaijan,52,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Bahamas,12,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
Bahrain,13,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,16,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Barbados,14,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Belarus,57,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,255,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Benin,53,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0
