"source","target","km"
"Afghanistan","China",76
"Afghanistan","Iran",936
"Afghanistan","Pakistan",2430
"Afghanistan","Tajikistan",1206
"Afghanistan","Turkmenistan",744
"Afghanistan","Uzbekistan",137
"Albania","Greece",282
"Albania","Kosovo",112
"Albania","Macedonia",151
"Albania","Montenegro",172
"Algeria","Libya",982
"Algeria","Mali",1376
"Algeria","Mauritania",463
"Algeria","Morocco",1559
"Algeria","Niger",956
"Algeria","Tunisia",965
"Algeria","WesternSahara",42
"Andorra","France",56.6
"Andorra","Spain",63.7
"Angola","DemocraticRepublicCongo",2511
"Angola","Namibia",1376
"Angola","RepublicCongo",201
"Angola","Zambia",1110
"Argentina","Bolivia",832
"Argentina","Brazil",1261
"Argentina","Chile",5308
"Argentina","Paraguay",1880
"Argentina","Uruguay",580
"Armenia","Azerbaijan",787
"Armenia","Georgia",164
"Armenia","Iran",35
"Armenia","Turkey",268
"Austria","CzechRepublic",362
"Austria","Germany",784
"Austria","Hungary",366
"Austria","Italy",430
"Austria","Liechtenstein",35
"Austria","Slovakia",91
"Austria","Slovenia",330
"Austria","Switzerland",164
"Azerbaijan","Armenia",787
"Azerbaijan","Georgia",322
"Azerbaijan","Iran",611
"Azerbaijan","Russia",284
"Azerbaijan","Turkey",9
"Bangladesh","India",4053
"Bangladesh","Myanmar",193
"Belarus","Latvia",171
"Belarus","Lithuania",680
"Belarus","Poland",605
"Belarus","Russia",959
"Belarus","Ukraine",891
"Belgium","France",620
"Belgium","Germany",167
"Belgium","Luxembourg",148
"Belgium","Netherlands",450
"Belize","Guatemala",266
"Belize","Mexico",250
"Benin","BurkinaFaso",306
"Benin","Niger",266
"Benin","Nigeria",773
"Benin","Togo",644
"Bhutan","China",470
"Bhutan","India",605
"Bolivia","Argentina",832
"Bolivia","Brazil",3423
"Bolivia","Chile",860
"Bolivia","Paraguay",750
"Bolivia","Peru",1075
"BosniaHerzegovina","Croatia",932
"BosniaHerzegovina","Montenegro",237
"BosniaHerzegovina","Serbia",330
"Botswana","Namibia",1360
"Botswana","SouthAfrica",1840
"Botswana","Zambia",2.6
"Botswana","Zimbabwe",813
"Brazil","Argentina",1261
"Brazil","Bolivia",3423
"Brazil","Colombia",1644
"Brazil","FrenchGuiana",702
"Brazil","Guyana",1606
"Brazil","Paraguay",1365
"Brazil","Peru",2995
"Brazil","Suriname",593
"Brazil","Uruguay",1068
"Brazil","Venezuela",2200
"Brunei","Malaysia",381
"Bulgaria","Greece",494
"Bulgaria","Macedonia",148
"Bulgaria","Romania",608
"Bulgaria","Serbia",318
"Bulgaria","Turkey",240
"BurkinaFaso","Benin",306
"BurkinaFaso","Ghana",549
"BurkinaFaso","IvoryCoast",584
"BurkinaFaso","Mali",1000
"BurkinaFaso","Niger",628
"BurkinaFaso","Togo",126
"Burundi","DemocraticRepublicCongo",233
"Burundi","Rwanda",290
"Burundi","Tanzania",451
"Cambodia","Laos",541
"Cambodia","Thailand",803
"Cambodia","Vietnam",1228
"Cameroon","CentralAfricanRepublic",797
"Cameroon","Chad",1094
"Cameroon","EquatorialGuinea",189
"Cameroon","Gabon",298
"Cameroon","Nigeria",1690
"Cameroon","RepublicCongo",523
"Canada","UnitedStates",8893
"CentralAfricanRepublic","Cameroon",797
"CentralAfricanRepublic","Chad",1197
"CentralAfricanRepublic","DemocraticRepublicCongo",1577
"CentralAfricanRepublic","RepublicCongo",467
"CentralAfricanRepublic","SouthSudan",821
"CentralAfricanRepublic","Sudan",344
"Chad","Cameroon",1094
"Chad","CentralAfricanRepublic",1197
"Chad","Libya",1055
"Chad","Niger",1175
"Chad","Nigeria",87
"Chad","Sudan",1360
"Chile","Argentina",5308
"Chile","Bolivia",860
"Chile","Peru",171
"China","Afghanistan",76
"China","Bhutan",470
"China","HongKong",30
"China","India",3380
"China","Kazakhstan",1533
"China","Kyrgyzstan",858
"China","Laos",423
"China","Macau",0.34
"China","Mongolia",4677
"China","Myanmar",2185
"China","Nepal",1236
"China","NorthKorea",1416
"China","Pakistan",523
"China","Russia",3645
"China","Tajikistan",414
"China","Vietnam",1281
"Colombia","Brazil",1644
"Colombia","Ecuador",590
"Colombia","Panama",225
"Colombia","Peru",1800
"Colombia","Venezuela",2050
"CostaRica","Nicaragua",309
"CostaRica","Panama",330
"Croatia","BosniaHerzegovina",932
"Croatia","Hungary",329
"Croatia","Montenegro",25
"Croatia","Serbia",241
"Croatia","Slovenia",455
"CzechRepublic","Austria",362
"CzechRepublic","Germany",730
"CzechRepublic","Poland",615
"CzechRepublic","Slovakia",197
"DemocraticRepublicCongo","Angola",2511
"DemocraticRepublicCongo","Burundi",233
"DemocraticRepublicCongo","CentralAfricanRepublic",1577
"DemocraticRepublicCongo","RepublicCongo",2410
"DemocraticRepublicCongo","Rwanda",217
"DemocraticRepublicCongo","SouthSudan",628
"DemocraticRepublicCongo","Tanzania",459
"DemocraticRepublicCongo","Uganda",765
"DemocraticRepublicCongo","Zambia",1930
"Denmark","Germany",68
"Djibouti","Eritrea",109
