node,label,type,symbol
Socar DC Heavy Crane,Socar DC Heavy Crane,Joint ventures with Socar,office
Marine Trading FZE,Marine Trading,Contract holder with Socar,office
Chemstar Energy FZE,Chemstar Energy,Contract holder with Socar,office
Heavy Crane FZE,Heavy Crane,Other companies,office
Socar Gulf GJSC,Socar Gulf GJSC,Joint ventures with Socar,office
Gulf Geophysic FZE,Gulf Geophysic,Other companies,office
Bahar Energy,Bahar Energy,Contract holder with Socar,office
Rafi Oil FZE / Novatis Oil FZE,Rafi / Novatis Oil,Contract holder with Socar,office
Surakhani Oil Operating Company SA,Surakhani Oil Operating Co,Joint ventures with Socar,office
Socar Petroleum SA,Socar Petroleum,Joint ventures with Socar,office
Socar Energy SRL,Socar Energy SRL,Joint ventures with Socar,office
Socar Turkey; Petrol Enerji; Dagitim Sanayi ve Ticaret AS,Socar Turkey etc,Joint ventures with Socar,office
Socar Gas BV,Socar Gas,Joint ventures with Socar,office
Becrux Investment & Finance BV,Becrux Investment & Finance,Joint ventures with Socar,office
Agena Petroleum Holding BV,Agena Petroleum Holding,Joint ventures with Socar,office
Heritage-UGE Cooperative,Heritage-UGE Cooperative,Other companies,office
Union Grand Energy Middle East LLC,Union Grand Energy Middle East LLC,Other companies,office
Caspian Drilling Company,Caspian Drilling Company,Joint ventures with Socar,office
AzTurGaz,AzTurGaz,Joint ventures with Socar,office
Socar Gas Supply,Socar Gas Supply,Joint ventures with Socar,office
Socar Georgia Investments,Socar Georgia Investments,Joint ventures with Socar,office
Socar Georgia Petroleum Ltd,Socar Georgia Petroleum,Joint ventures with Socar,office
International Railway Expedition,International Railway Expedition,Joint ventures with Socar,office
Kulevi Oil Terminal,Kulevi Oil Terminal,Joint ventures with Socar,office
Socar Georgia Security Ltd,Socar Georgia Security,Joint ventures with Socar,office
Socar Georgia Gas Ltd,Socar Georgia Gas,Joint ventures with Socar,office
Socar Black Sea SA,Socar Black Sea,Joint ventures with Socar,office
Socar Resources Ltd (Formally Operational Global Concept Ltd),Socar Resources Ltd,Joint ventures with Socar,office
Socar Trading S&L DMCC,Socar Trading S&L DMCC,Joint ventures with Socar,office
Socar Trading SA,Socar Trading SA,Joint ventures with Socar,office
Supra Investments,Supra Investments,Joint ventures with Socar,office
Socar Trading Singapore PTE Ltd,Socar Trading Singapore,Joint ventures with Socar,office
ST Overseas DMCC Dubai,ST Overseas DMCC Dubai,Joint ventures with Socar,office
Socar Aurora Fujaireh Terminal FZE,Socar Aurora Fujaireh Terminal,Joint ventures with Socar,office
Socar Aurora Terminals SA,Socar Aurora Terminals,Joint ventures with Socar,office
Anar Aliyev,Anar Aliyev,Focus,bust_in_silhouette
Relz Faktor AG LCC,Relz Faktor,Other companies,office
Gulf Drilling Supply FZE,Gulf Drilling Supply,Contract holder with Socar,office
Socar-Rodan,Socar-Rodan,Joint ventures with Socar,office
Azlab LCC,Azlab LCC,Joint ventures with Socar,office
Trans Marine United Corporation,Trans Marine United Corp,Other companies,office
Caspian Catering Services,Caspian Catering Services,Joint ventures with Socar,office
Caspian Marine Services (UK) Limited,Caspian Marine Services (UK) Limited,Other companies,office
Caspian Ship Construction & Repair,Caspian Ship Construction & Repair,Other companies,office
Caspian Marine Construction,Caspian Marine Construction,Contract holder with Socar,office
Socar-CMS,Socar-CMS,Joint ventures with Socar,office
Socar CSCR MMC,Socar CSCR MMC,Joint ventures with Socar,office
Azerfeis,Azerfeis,Other companies,office
Caspian Shipyard Company LLC,Caspian Shipyard Co,Joint ventures with Socar,office
Lancer Services SA,Lancer Services,Other companies,office
Baki AG Sheher Office Building LLC,Baki AG Sheher Office Bldng,Other companies,office
A.P. International LLC,A.P. International,Other companies,office
Azgemeft LLC,Azgemeft,Joint ventures with Socar,office
Socar-UGE,Socar-UGE,Joint ventures with Socar,office
UGE Asia PTE Ltd,UGE Asia,Other companies,office
Core Energy FZE,Core Energy,Contract holder with Socar,office
EKOL Engineering Services,EKOL Engineering Services,Joint ventures with Socar,office
Socar Petroleum CJSC,Socar Petroleum,Joint ventures with Socar,office
Neftchala Football Team,Neftchala Football Team,Joint ventures with Socar,office
Neftci Apartment Building,Neftci Apartment Building,Joint ventures with Socar,office
UGE Lancer PTE Ltd,UGE Lancer,Contract holder with Socar,office
Balakhani Operating Company Ltd,Balakhani Operating Co,Joint ventures with Socar,office
Socar Georgia,Socar Georgia,Joint ventures with Socar,office
Supra Holdings Limited / Socar Trading Holding Limited,Supra  / Socar Trading Holding Limited,Joint ventures with Socar,office
Heritage General Trading FZE / Eventus General Trading FZE,Heritage / Eventus General Trading,Other companies,office
Union Grand Energy PTE Ltd,Union Grand Energy,Other companies,office
RSR Holding PTE Ltd,RSR Holding,Other companies,office
Socar Turkey Gaz Dagitim Sanayi Ve Tickaret Anonim Sirketi,Socar Turkey etc,Joint ventures with Socar,office
Sumato Energy Group,Sumato Energy Group,Contract holder with Socar,office
