node,label,type,symbol
Rongcheng Ocean (Deep-Sea) Fisheries Co. Ltd.,Rongcheng Ocean Fisheries Co.,company,office
Dong Sheng Company Limited,Dong Sheng Co.,company,office
Rockpoint Co. Ltd.,Rockpoint Co.,company,office
Gyinam Fisheries & Sons Ltd,Gyinam Fisheries & Sons,company,office
El Shadai Fisheries Co. Ltd.,El Shadai Fisheries Co.,company,office
Lu Rong Yuan YU 222,YU 222,vessel,ship
Lu Rong Yuan YU 221,YU 221,vessel,ship
Lu Rong Yuan YU 958,YU 958,vessel,ship
Lu Rong Yuan YU 217,YU 217,vessel,ship
Lu Rong Yuan YU 218,YU 218,vessel,ship
Lu Rong Yuan YU 957,YU 957,vessel,ship
Lu Rong Yuan YU 215,YU 215,vessel,ship
Lu Rong Yuan YU 216,YU 216,vessel,ship
Lu Rong Yuan YU 959,YU 959,vessel,ship
Lu Rong Yuan YU 956,YU 956,vessel,ship
Lu Rong Yuan YU 220,YU 220,vessel,ship
Lu Rong Yuan YU 219,YU 219,vessel,ship
