from,to,label,value,unit,note
Lukiza Limited,CAL TEC Corporation Limited,shareholder of,40,Percent,
Lukiza Limited,Sapphire Limited,shareholder of,85,Percent,
Lukiza Limited,Lake Bogoria Spa Resort Limited,shareholder of,98,Percent,
Lukiza Limited,Koita International,shareholder of,99,Percent,
Lukiza Limited,Blue Lakes Limited,owner of,,,Commercial involvement in teak
Lukiza Limited,Koita Construction Limited,shareholder of,98,Percent,
Lukiza Limited,Sercham Equatorial Limited,purchased,,,Commercial involvement in teak
Lukiza Limited,Lukiza Limited Kenya,subsidiaries,,,Commercial involvement in teak
Lukiza Limited,Lukiza Limited South Sudan,subsidiaries,,,Commercial involvement in teak
Lukiza Limited Kenya,Daniel Arap Moi,former president,,,
Daniel Arap Moi,Gideon Towett Moi,father of,,,
Mutula Kilonzo and Co Advocates,Daniel Arap Moi,legal representative of,,,
Anastacia Kioko Mululu,Mutula Kilonzo and Co Advocates,former partner,,,
Anastacia Kioko Mululu,Lukiza Limited Kenya,shareholder of; director of,50,Percent,
Gideon Towett Moi,Zahra Bahlewa Moi,spouse of,,,
Gideon Towett Moi,Lukiza Limited South Sudan,former shareholder of,60,Percent,
Zahra Bahlewa Moi,Lukiza Limited South Sudan,former shareholder of,38,Percent,
Zahra Bahlewa Moi,Lelgoi Group,vice chair of,,,
Darius Nyariki Mobe,Lelgoi Group,employee of,,,
Darius Nyariki Mobe,Lukiza Limited South Sudan,shareholder of,80,Percent,
Lukiza Limited Kenya,Kenya,global market gateway,,,
Lukiza Limited South Sudan,South Sudan,teak source,,,
