"SOURCE","TARGET","TYPE","COUNT"
"Aaron Sorkin","A Few Good Men","ACTED_IN-WROTE",2
"Al Pacino","The Devil's Advocate","ACTED_IN",1
"Andy Wachowski","Cloud Atlas","DIRECTED",1
"Andy Wachowski","Ninja Assassin","PRODUCED",1
"Andy Wachowski","Speed Racer","DIRECTED-WROTE",1
"Andy Wachowski","The Matrix","DIRECTED",1
"Andy Wachowski","The Matrix Reloaded","DIRECTED",1
"Andy Wachowski","The Matrix Revolutions","DIRECTED",1
"Andy Wachowski","V for Vendetta","WROTE-PRODUCED",1
"Angela Scope","The Replacements","REVIEWED",1
"Annabella Sciorra","What Dreams May Come","ACTED_IN",1
"Anthony Edwards","Top Gun","ACTED_IN",1
"Audrey Tautou","The Da Vinci Code","ACTED_IN",1
"Ben Miles","Ninja Assassin","ACTED_IN",1
"Ben Miles","Speed Racer","ACTED_IN",1
"Ben Miles","V for Vendetta","ACTED_IN",1
"Bill Paxton","A League of Their Own","ACTED_IN",1
"Bill Paxton","Apollo 13","ACTED_IN",1
"Bill Paxton","Twister","ACTED_IN",1
"Bill Pullman","Sleepless in Seattle","ACTED_IN",1
"Billy Crystal","When Harry Met Sally","ACTED_IN",1
"Bonnie Hunt","Jerry Maguire","ACTED_IN",1
"Bonnie Hunt","The Green Mile","ACTED_IN",1
"Brooke Langton","The Replacements","ACTED_IN",1
"Bruno Kirby","When Harry Met Sally","ACTED_IN",1
"Cameron Crowe","Jerry Maguire","DIRECTED-PRODUCED-WROTE",1
"Carrie Fisher","When Harry Met Sally","ACTED_IN",1
"Carrie-Anne Moss","The Matrix","ACTED_IN",1
"Carrie-Anne Moss","The Matrix Reloaded","ACTED_IN",1
"Carrie-Anne Moss","The Matrix Revolutions","ACTED_IN",1
"Charlize Theron","That Thing You Do","ACTED_IN",1
"Charlize Theron","The Devil's Advocate","ACTED_IN",1
"Chris Columbus","Bicentennial Man","DIRECTED",1
"Christian Bale","RescueDawn","ACTED_IN",1
"Christina Ricci","Speed Racer","ACTED_IN",1
"Christopher Guest","A Few Good Men","ACTED_IN",1
"Clint Eastwood","Unforgiven","DIRECTED-ACTED_IN",2
"Corey Feldman","Stand By Me","ACTED_IN",1
"Cuba Gooding Jr.","A Few Good Men","ACTED_IN",1
"Cuba Gooding Jr.","As Good as It Gets","ACTED_IN",1
"Cuba Gooding Jr.","Jerry Maguire","ACTED_IN",1
"Cuba Gooding Jr.","What Dreams May Come","ACTED_IN",1
"Danny DeVito","Hoffa","DIRECTED-ACTED_IN",2
"Danny DeVito","One Flew Over the Cuckoo's Nest","ACTED_IN",1
"Dave Chappelle","You've Got Mail","ACTED_IN",1
"David Morse","The Green Mile","ACTED_IN",1
