"ID","LABEL","DATE","COUNT","TYPE"
"Aaron Sorkin","Aaron Sorkin",1961,1,"ACTED_IN-WROTE"
"Al Pacino","Al Pacino",1940,1,"ACTED_IN"
"Andy Wachowski","Andy Wachowski",1967,7,"DIRECTED-WROTE-PRODUCED"
"Angela Scope","Angela Scope",0,1,"REVIEWED"
"Annabella Sciorra","Annabella Sciorra",1960,1,"ACTED_IN"
"Anthony Edwards","Anthony Edwards",1962,1,"ACTED_IN"
"Audrey Tautou","Audrey Tautou",1976,1,"ACTED_IN"
"Ben Miles","Ben Miles",1967,3,"ACTED_IN"
"Bill Paxton","Bill Paxton",1955,3,"ACTED_IN"
"Bill Pullman","Bill Pullman",1953,1,"ACTED_IN"
"Billy Crystal","Billy Crystal",1948,1,"ACTED_IN"
"Bonnie Hunt","Bonnie Hunt",1961,2,"ACTED_IN"
"Brooke Langton","Brooke Langton",1970,1,"ACTED_IN"
"Bruno Kirby","Bruno Kirby",1949,1,"ACTED_IN"
"Cameron Crowe","Cameron Crowe",1957,1,"DIRECTED-PRODUCED-WROTE"
"Carrie Fisher","Carrie Fisher",1956,1,"ACTED_IN"
"Carrie-Anne Moss","Carrie-Anne Moss",1967,3,"ACTED_IN"
"Charlize Theron","Charlize Theron",1975,2,"ACTED_IN"
"Chris Columbus","Chris Columbus",1958,1,"DIRECTED"
"Christian Bale","Christian Bale",1974,1,"ACTED_IN"
"Christina Ricci","Christina Ricci",1980,1,"ACTED_IN"
"Christopher Guest","Christopher Guest",1948,1,"ACTED_IN"
"Clint Eastwood","Clint Eastwood",1930,1,"DIRECTED-ACTED_IN"
"Corey Feldman","Corey Feldman",1971,1,"ACTED_IN"
"Cuba Gooding Jr.","Cuba Gooding Jr.",1968,4,"ACTED_IN"
"Danny DeVito","Danny DeVito",1944,2,"DIRECTED-ACTED_IN"
"Dave Chappelle","Dave Chappelle",1973,1,"ACTED_IN"
"David Morse","David Morse",1953,1,"ACTED_IN"
"Demi Moore","Demi Moore",1962,1,"ACTED_IN"
"Diane Keaton","Diane Keaton",1946,1,"ACTED_IN"
"Dina Meyer","Dina Meyer",1968,1,"ACTED_IN"
"Ed Harris","Ed Harris",1950,1,"ACTED_IN"
"Emil Eifrem","Emil Eifrem",1978,1,"ACTED_IN"
"Emile Hirsch","Emile Hirsch",1985,1,"ACTED_IN"
"Ethan Hawke","Ethan Hawke",1970,1,"ACTED_IN"
"Frank Darabont","Frank Darabont",1959,1,"DIRECTED"
"Frank Langella","Frank Langella",1938,1,"ACTED_IN"
"Gary Sinise","Gary Sinise",1955,2,"ACTED_IN"
"Geena Davis","Geena Davis",1956,1,"ACTED_IN"
"Gene Hackman","Gene Hackman",1930,3,"ACTED_IN"
"Greg Kinnear","Greg Kinnear",1963,2,"ACTED_IN"
"Halle Berry","Halle Berry",1966,1,"ACTED_IN"
"Helen Hunt","Helen Hunt",1963,3,"ACTED_IN"
"Howard Deutch","Howard Deutch",1950,1,"DIRECTED"
"Hugo Weaving","Hugo Weaving",1960,5,"ACTED_IN"
"Ian McKellen","Ian McKellen",1939,1,"ACTED_IN"
"Ice-T","Ice-T",1958,1,"ACTED_IN"
"J.T. Walsh","J.T. Walsh",1943,2,"ACTED_IN"
"Jack Nicholson","Jack Nicholson",1937,5,"ACTED_IN"
"James Cromwell","James Cromwell",1940,2,"ACTED_IN"
"James L. Brooks","James L. Brooks",1940,1,"DIRECTED"
"James Marshall","James Marshall",1967,3,"ACTED_IN-DIRECTED"
"James Thompson","James Thompson",0,2,"REVIEWED"
"Jan de Bont","Jan de Bont",1943,1,"DIRECTED"
"Jay Mohr","Jay Mohr",1970,1,"ACTED_IN"
"Jerry O'Connell","Jerry O'Connell",1974,2,"ACTED_IN"
"Jessica Thompson","Jessica Thompson",0,5,"REVIEWED"
"Jim Broadbent","Jim Broadbent",1949,1,"ACTED_IN"
"Jim Cash","Jim Cash",1941,1,"WROTE"
"Joel Silver","Joel Silver",1952,6,"PRODUCED"
"John C. Reilly","John C. Reilly",1965,1,"ACTED_IN"
