Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2020,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,DE,BR,,2,,live,,B,F
2020,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,EC,DE,,,1,live,,Z,C
2020,I,Acipenser sturio,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,DE,CH,XX,1,,skins,,Q,I
2020,I,Acipenser sturio,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,GB,JP,XX,1,,skins,Number of specimens,Q,O
2020,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,DE,IN,,2,,live,,B,C
2020,I,Branta sandvicensis,Aves,Anseriformes,Anatidae,Branta,BD,NL,,,58,live,,T,C
2020,I,Pachypodium decaryi,,Gentianales,Apocynaceae,Pachypodium,CH,DE,,,2,live,,T,D
2020,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,CH,IT,,,5,live,,T,D
2020,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,JP,NL,CL,,88,live,,T,D
2020,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,KR,NL,,,2000,live,,T,D
2020,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,NL,CL,,84000,,live,,T,D
2020,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,RU,IT,,,10,live,,T,D
2020,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,US,NL,GB,,10,seeds,kg,T,A
2020,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,US,NL,GB,,10,seeds,kg,T,D
2020,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,BE,CA,,3,,bone carvings,kg,P,O
2020,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CN,GB,XX,,1,baleen,Number of specimens,Q,O
2020,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CN,GB,XX,,4,garments,Number of specimens,Q,O
2020,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DE,CA,,1,,carvings,,P,O
2020,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,500,,baleen,g,P,W
2020,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,1,,baleen,kg,P,I
2020,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,5,,baleen,kg,P,W
2020,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,GB,RU,XX,1,,bone carvings,Number of specimens,Q,O
2020,I,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,AU,GB,XX,,1,baleen,Number of specimens,S,O
2020,I,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,AU,GB,XX,,4,bone carvings,Number of specimens,S,O
2020,I,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,GB,CH,XX,1,,baleen,Number of specimens,T,O
2020,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,GB,FK,,12,,baleen,Number of specimens,S,W
2020,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,GB,FK,,36,,skin pieces,Number of specimens,S,W
2020,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,GB,FK,,70,,specimens,Number of specimens,S,W
2020,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,GB,GS,,55,,specimens,Number of specimens,S,W
2020,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,CN,GB,XX,,1,baleen,Number of specimens,Q,O
2020,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,GB,FK,,1,,baleen,Number of specimens,S,W
2020,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,GB,FK,,1,,plates,Number of specimens,S,W
2020,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,GB,FK,,2,,skin pieces,Number of specimens,S,W
2020,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,GB,FK,,5,,specimens,Number of specimens,S,W
2020,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,GB,FK,,6,,baleen,Number of specimens,S,W
2020,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,GB,FK,,7,,plates,Number of specimens,S,W
2020,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,GB,FK,,8,,skin pieces,Number of specimens,S,W
2020,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,GB,FK,,21,,specimens,Number of specimens,S,W
2020,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,GB,GS,,40,,specimens,Number of specimens,S,W
2020,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,DK,GL,,380,,bones,g,P,W
2020,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,DK,GL,,6,,bones,,P,W
2020,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,GB,FK,,1,,plates,Number of specimens,S,W
2020,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,GB,GS,,69,,specimens,Number of specimens,S,W
2020,I,Acrantophis dumerili,Reptilia,Serpentes,Boidae,Acrantophis,JE,GB,,,2,live,Number of specimens,Z,F
2020,I,Boa constrictor occidentalis,Reptilia,Serpentes,Boidae,Boa,CH,DE,,,2,live,,T,C
2020,I,Boidae spp.,Reptilia,Serpentes,Boidae,,AT,ZA,,2,,trophies,,H,W
2020,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,CH,DE,,,1,live,,T,C
2020,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,DE,CH,,4,,live,,P,C
2020,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,GB,CH,,1,,live,Number of specimens,P,C
2020,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,US,DE,,,10,live,,T,C
2020,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,AE,MA,,,40,live,,N,C
