id,brewery_id,name,cat_id,style_id,abv,ibu,srm,upc
1,812,Hocus Pocus,11,116,4.5,0,0,0
2,264,Grimbergen Blonde,-1,-1,6.7,0,0,0
3,779,Widdershins Barleywine,-1,-1,9.1,0,0,0
4,287,Lucifer,-1,-1,8.5,0,0,0
5,1056,Bitter,-1,-1,4,0,0,0
6,1385,Winter Warmer,1,13,5.2,0,0,0
7,1099,Winter Welcome 2007-2008,-1,-1,6,0,0,0
8,1099,Oatmeal Stout,3,42,5,0,0,0
9,501,Espresso Porter,-1,-1,0,0,0,0
10,545,Chocolate Stout,3,42,0,0,0,0
11,742,Hitachino Nest Real Ginger Brew,-1,-1,7,0,0,0
12,779,JuJu Ginger,-1,-1,4,0,0,0
13,545,The Kidd Lager,7,86,0,0,0,0
14,1099,Imperial Stout,3,42,7,0,0,0
15,1315,Oak-Aged Belgian Tripel,-1,-1,9,0,0,0
16,168,Ultrablonde,-1,-1,8,0,0,0
17,1023,Wiesen Edel Weisse,4,50,6.2,0,0,0
18,39,Old Foghorn 2001,-1,-1,10,0,0,0
19,196,Framboise,-1,-1,6,0,0,0
20,483,Cow Palace Scotch Ale 1998,1,15,8.7,0,0,0
21,1142,Bigfoot 2001,-1,-1,9.6,0,0,0
22,1142,Bigfoot 2002,-1,-1,9.6,0,0,0
23,1142,Bigfoot 2003,-1,-1,9.6,0,0,0
24,1142,Bigfoot 2004,-1,-1,9.6,0,0,0
25,1142,Bigfoot 2005,-1,-1,9.6,0,0,0
26,1220,Winter Ale,1,13,5.9,0,0,0
27,878,Full Moon Winter Ale,5,72,5.6,0,0,0
28,935,Odell IPA,3,31,7,0,0,0
29,1271,Ornery Amber Lager,8,95,0,0,0,0
30,935,Cutthroat Porter,2,25,4.8,0,0,0
31,1271,Maple Nut Brown Ale Ale,3,38,0,0,0,0
32,1271,Cocoa Porter,-1,-1,0,0,0,0
33,190,Jenlain Blonde,-1,-1,7.5,0,0,0
34,196,Blonde,-1,-1,7.5,0,0,0
35,432,Flemish Primitive Wild Ale (Demon Fish),-1,-1,9,0,0,0
36,294,Witkap-Pater Tripel,-1,-1,7.5,0,0,0
37,1175,Winter Cheer,3,38,0,0,0,0
38,743,Canaster Winter Scotch,-1,-1,8.7,0,0,0
39,1307,16,-1,-1,10,0,0,0
40,1307,Quelque Chose,5,70,8,0,0,0
41,277,Kriek,-1,-1,7,0,0,0
42,170,BiÃ¨re Darbyste,11,116,0,0,0,0
43,723,Maracaibo Especial,3,38,7.5,0,0,0
44,432,Flemish Primitive Wild Ale (Pin Head),-1,-1,9,0,0,0
45,723,Calabaza Blanca,5,72,4.8,0,0,0
46,901,Porter,2,25,0,0,0,0
47,901,Cardinal Pale Ale,3,26,0,0,0,0
48,176,Zinnebir Xmas,-1,-1,6.6,0,0,0
49,974,Bridal Ale 2005,-1,-1,0,0,0,0
50,176,Zinnebir,3,26,0,0,0,0
51,432,Saison Imperiale,-1,-1,8.5,0,0,0
52,170,La Moneuse,-1,-1,8,0,0,0
53,901,Red Sled Winter Ale,-1,-1,0,0,0,0
54,39,Christmas Ale 2007,-1,-1,0,0,0,0
55,176,Equinox Dark Belgian Winter,-1,-1,8,0,0,0
56,856,Serafijn Christmas Angel,-1,-1,8,0,0,0
57,160,Obovoid Empirical Stout,3,43,8,0,0,0
58,1221,Furious Beer,3,31,6,0,0,0
59,1221,Bender Beer,3,38,5.1,0,0,0
60,1315,Oak Aged Ebenezer,-1,-1,9.4,0,0,0
61,160,Killer Penguin,3,35,10,0,0,0
62,236,Oatmeal Stout,3,42,0,0,0,0
63,935,Isolation Ale,11,141,6,0,0,0
64,501,Festive Ale 2007,-1,-1,0,0,0,0
65,586,Bourbon County Stout 2007,-1,-1,13,0,0,0
66,670,Twelve Days,3,42,5.5,0,0,0
67,1056,Seriously Bad Elf,-1,-1,9,0,0,0
68,905,Big Shot Seasonal Ale,2,25,0,0,0,0
69,923,God Jul - Winter Ale,3,42,8.5,0,0,0
70,1142,Harvest Ale 2007,3,26,6.7,0,0,0
71,161,Nut Cracker Ale,11,141,5.9,0,0,0
72,779,Goosinator Smoked Doppelbock 2007,8,95,0,0,0,0
73,779,Snow Bound Winter Ale,-1,-1,8.6,0,0,0
74,779,Warrior IPA,3,31,6.6,0,0,0
75,266,Petrus Oud Bruin,-1,-1,5.5,0,0,0
76,266,Petrus Gouden Tripel Ale,-1,-1,7.5,0,0,0
77,266,Petrus Blond Ale,-1,-1,6.6,0,0,0
78,266,Petrus Dubbel Bruin Ale,5,60,6.5,0,0,0
79,266,Petrus Speciale,3,26,5.5,0,0,0
80,1202,Weizengold Hefefein,4,50,5.1,0,0,0
81,160,Never Summer Ale,11,141,5.94,0,0,0
82,1264,Modern Monks Belgian Blonde,3,26,0,0,0,0
83,1264,Grand Cru,-1,-1,0,0,0,0
84,210,JÃ¶rger WeiÃŸe Hell,4,50,0,0,0,0
85,1272,OSB Premium Ale,-1,-1,4.5,0,0,0
86,425,Morocco Ale,-1,-1,5.5,0,0,0
87,1047,Glacier Ale,3,33,0,0,0,0
88,1047,Bent Nail IPA,3,31,0,0,0,0
89,879,Espresso Porter,-1,-1,0,0,0,0
90,879,Harvest Ale,3,26,0,0,0,0
91,879,Stillwater Rye,-1,-1,0,0,0,0
92,879,Sharptail Pale Ale,3,26,0,0,0,0
93,879,Fat Belly Amber,3,33,0,0,0,0
94,879,Whitetail Wheat,8,95,0,0,0,0
95,879,Sandbagger Gold,-1,-1,0,0,0,0
96,901,Brunette Nut Brown Ale,3,38,0,0,0,0
97,901,Irish Red,-1,-1,0,0,0,0
98,901,Belgian Wit,-1,-1,0,0,0,0
99,901,EOS Hefeweizen,4,50,0,0,0,0
100,901,India Pale Ale,3,26,0,0,0,0
101,1185,Winter Ale,1,13,6.3,0,0,0
102,1260,Pride & Joy Mild Ale,1,10,0,0,0,0
103,1260,Robert the Bruce Scottish Ale,1,15,7,0,0,0
104,1056,Lump of Coal Dark Holiday Stout,3,42,8,0,0,0
105,1056,Warm Welcome Nut Browned Ale,3,38,6,0,0,0
106,884,Pendle Witches Brew,3,26,5.1,0,0,0
107,345,Carnegie Stark-Porter,2,25,5.5,0,0,0
108,727,Harvest Ale 2002,1,13,11.5,0,0,0
109,1075,Woody Organic IPA,3,31,6.2,0,0,0
110,620,Adriaan,-1,-1,5,0,0,0
111,304,Leute Bok Bier,7,90,7.5,0,0,0
112,905,La Folie Falling Rock,-1,-1,6,0,0,0
113,1315,Oak Aged IPA,-1,-1,6,0,0,0
114,304,Tikka Gold,3,26,5,0,0,0
115,179,La Divine Double Blond,-1,-1,7.5,0,0,0
116,179,La Divine Tripel Amber,-1,-1,9,0,0,0
117,292,Ename Tripel,-1,-1,8.5,0,0,0
118,827,Triple Dipsea Belgian,-1,-1,9.2,0,0,0
119,1019,Oktoberfest Weizen,-1,-1,5.7,0,0,0
120,1029,Imperial Hefeweizen,-1,-1,7.5,0,0,0
121,481,Triple Exultation Old Ale,1,13,9.7,0,0,0
122,130,Organic Gingerbread Ale,-1,-1,6.8,0,0,0
123,1064,Falcon Pale Ale,3,26,0,0,0,0
124,441,Buzzsaw Brown,3,38,4.8,0,0,0
125,369,Eisenbahn South American Pale Ale (S.A.P.A.),3,26,0,0,0,0
126,584,Geist Bock,7,90,6.1,0,0,0
127,623,Troll Porter,2,25,0,0,0,0
128,397,Dark Ale,1,10,4.5,0,0,0
129,441,Cinder Cone Red,3,33,5.4,0,0,0,7/22/2010 20:00,,,,,,,,,,,,,,,,,,,,,,,,
130,562,LTD 02 Lager,7,90,6.4,0,0,0
131,189,Saison Vielle Provision,-1,-1,6.5,0,0,0
132,130,Organic Barley Wine Ale 2005,-1,-1,9.5,0,0,0
