FROM,TO
AG05002,EVT02265
EVT02265,LOC00888
EVT02265,19930117
AG05002,EVT02266
EVT02266,LOC01149
EVT02266,19940731
AG05002,EVT01963
EVT01963,LOC00969
EVT01963,19941118
AG05002,EVT03005
EVT03005,LOC00352
EVT03005,19950225
AG05002,EVT03010
EVT03010,LOC01106
EVT03010,19980908
AG05002,EVT00696
EVT00696,LOC00957
EVT00696,20000423
AG05002,EVT01980
EVT01980,LOC01149
EVT01980,20000701
AG05002,EVT01981
EVT01981,LOC00345
EVT01981,20000709
AG05002,EVT03022
EVT03022,LOC00895
EVT03022,20000911
AG05004,EVT03142
EVT03142,19920815
EVT03142,ASG
AG05004,EVT03141
EVT03141,19921129
EVT03141,MNLF
AG05004,EVT03138
EVT03138,19930608
EVT03138,ASG
AG05004,EVT02267
EVT02267,19940608
EVT02267,ASG
AG05122,EVT03012
EVT03012,19990613
EVT03012,MILF
AG05122,EVT03024
EVT03024,20010110
EVT03024,MILF
AG05122,EVT03121
EVT03121,20070610
EVT03121,MILF
AG05122,EVT03056
EVT03056,20080707
EVT03056,OTHER
AG05122,EVT03070
EVT03070,20090123
EVT03070,ASG
EVT03070,OTHER
AG05122,EVT03073
EVT03073,20090213
EVT03073,ASG
EVT03073,MILF
AG05122,EVT03074
EVT03074,20090410
EVT03074,MILF
AG05122,EVT03075
EVT03075,20090425
EVT03075,ASG
EVT03075,OTHER
AG05243,EVT03076
EVT03076,20090203
EVT03076,OTHER
AG05243,EVT03073
EVT03073,20090213
EVT03073,ASG
EVT03073,OTHER
