assessmentId,internalTaxonId,scientificName,redlistCategory,yearPublished,rationale,habitat,threats,population,populationTrend,range,useTrade,systems,conservationActions,realm,yearLastSeen,possiblyExtinct,possiblyExtinctInTheWild,scopes
511283,13013,Megupsilon aporus,Extinct,2019,"<p><em>Megupsilon aporus</em> was once restricted to the Potosi Spring northwest of Galeana in Nuevo Leon, Mexico. This species is now considered Extinct (EX) as a result of total habitat loss, and has not been recorded at this locality since 1994. There are no known captive populations. The last remaining captive population was lost in 2012. </p>","<p>Historical habitat included clear springs and spring-fed ditches in the presence of dense aquatic macrophytes over clay, mud, firm limestone and sandy substrates (Miller <em>et al</em>. 2005). Water temperature fluctuated annually from 16.5-23 <sup>o</sup>C. Potosi springs was at 1880 m elevation (Miller <em>et al.</em> 2005). </p>","<p>Major threats that led to the extirpation of <em>M. aporus </em>in the wild include a near total loss of habitat resulting from groundwater extraction, and the impacts of predatory and competitive introduced species (Contreras-Balderas and Lozano-Vilano 1996, Miller <em>et al</em>. 2005). </p>","<p><em>Megupsilon aporus</em> has not been recorded in the wild since 1994 (Burkhead 2012, Lozano-Vilano and Maza-Benignos 2017, Valdés González <em>et al</em>. 2018). Surveys have been conducted in nearby springs, but it has not been recorded. <br/></p>",,"<p><em>Megupsilon aporus</em> was once restricted to the Potosi Spring northwest of Galeana in Nuevo Leon, Mexico. This species was considered Extinct in the Wild (EW) as a result of total habitat loss, and has not been recorded at this locality since 1994 (Valdés González <em>et al</em>. 2018). However, there are no known captive populations, as the last remaining captive population was lost in 2012 (Lozano-Vilano and Maza-Benignos 2017, A. Eschelle pers. comm. 2018, C. Martin pers. comm. 2018). </p>",There is no information about the past use and trade of this species.,Freshwater (=Inland waters),"<p>The last remaining captive population of <em>M. aporus</em> was lost in 2012 (Lozano-Vilano and Maza-Benignos 2017, Valdés González <em>et al</em>. 2018).&#160; Genetic tissue has been preserved for this species (A. Valdes pers. comm. 2018).<strong><br/></strong></p>",Nearctic,1994,FALSE,FALSE,Global
518894,136769,Pipistrellus murrayi,Extinct,2017,"<p><span lang=""EN-AU"">This species is listed as Extinct. There has been extensive survey work for, and monitoring of, this species over recent decades which has documented a dramatic population decline from previously being common and widespread across Christmas Island. It was listed as Critically Endangered in 2006 after a decline in excess of 90% in three generations (12–15 years) based on an index of relative abundance from bat detectors, and subsequently by direct observation of the remaining individuals at a single roost. In January 2009, the total known adult population was four individuals and the estimated population was considered to be fewer than 20 individuals. By August 2009, only one remaining individual was found during an extensive survey, which was recorded consistently each day in its foraging and roosting areas. This individual disappeared on 27 August 2009 and no individuals have been located since, despite extensive searching using proven techniques.&#160;</p>","<p><em>Pipistrellus murrayi</em> roosted under bark, in dead foliage, and in tree hollows. Maternity roosts were discovered in late 2005 under shedding bark of dead forest trees (<em>Tristiropsis acutangula</em> and <em>Inocarpus fagifer</em>), many of which were heavily decayed and collapsed soon after (Lumsden <em>et al</em>. 2007). Females formed colonies of up to approximately 50 individuals, while males often roosted solitarily (Lumsden <em>et al</em>. 1999, 2007). Generation length of this species was likely to be 4-5 years. This species roosted in mature, tropical, evergreen, closed canopy rainforests and mature, tropical, semi-deciduous rainforests (Lumsden <em>et al</em>. 1999, James and Retallick 2007, Lumsden <em>et al</em>. 2007). It foraged in and over these forests and also along tracks, and in and over secondary forests and thickets of woody weeds (Lumsden <em>et al</em>. 1999, James and Retallick 2007, Lumsden <em>et al</em>. 2007). It fed on a range of small flying invertebrates, predominantly moths, beetles, and flying ants (Lumsden and Schulz 2009).<br/></p>","<p>The reasons for the decline and ultimate extinction of <em>P. murrayi</em> remain unclear. While habitat loss may have caused some declines in the past, 75% of Christmas Island is covered by primary or secondary rainforest, with little change in the amount of available habitat during the period of decline. Furthermore, most of the species’ range was within a National Park. The major threats to the species may have included predation or disturbance to bats within their roosts from introduced species, e.g. Common Wolf Snake (<em>Lycodon capucinus</em>), Feral Cat (<em>Felis catus</em>), Black Rat (<em>Rattus rattus</em>) and Giant Centipede (<em>Scolopendra subspinipes</em>) (Lumsden <em>et al</em>. 2007). Although not considered the primary cause of decline, as the spatio-temporal pattern did not closely match the pipistrelle’s decline, a series of recent population explosions of Yellow Crazy Ants (<em>Anoplolepis gracilipes</em>) is likely to have led to some habitat change, likely decline in invertebrate prey resources, and may also have disturbed individuals at roost sites. It is also possible that some disease may have contributed to the decline, however, individuals captured over the period of decline appeared to be in good health, with the exception of low white blood cell counts, although the significance of these findings was unclear (Lumsden <em>et al</em>. 2007). Even the last known individual appeared to behave normally before it vanished.<br/></p>","Because <em>Pipistrellus murrayi</em> was the only echolocating bat on Christmas Island, ultrasonic bat detectors were an effective technique for documenting its status, as it was readily recorded and could not be confused with, or obscured by, other species. Intensive detector sampling over many years (intermittent between the mid-1990s and 2004, and then almost continuous until and after its extinction) has provided an unusually detailed documentation of its decline, resulting in it being one of the most intensely monitored bat species on the planet.<br/><br/>Although there were no reliable population estimates, <em>P. murrayi</em> was reported to be abundant and widespread across Christmas Island at the time of its first settlement (1890s) (Andrews 1900), and was still abundant and widespread at the time of the first substantial study of it in 1984 (Tidemann 1985). By 1994 its range had contracted away from the north-east section of the island (which is where the only town is located), its distribution had become patchy, and it had started to decline in abundance (Lumsden and Cherry 1997). Between 1994 and 1998 there was a further westward range contraction and an apparent mean reduction of 33% in relative abundance, although this was not statistically significant (Lumsden <em>et al</em>. 1999, Schulz and Lumsden 2004). Between 1998 and 2004 there was a decline of between 55 and 65% in relative abundance and a continuing westward contraction of range of about 25 to 50% (James 2005). This decline continued and the species was then (<em>ca</em> 2007) considered to be confined to the far west of the island, no longer occurring across more than 90% of its former range (James and Retallick 2007, Lumsden <em>et al</em>. 2007). Long-term monitoring using bat detectors indicated this species underwent a 90% decline in abundance between 1994 and 2006 (James and Retallick 2007, Lumsden <em>et al</em>. 2007). This decline continued at a severe and consistent rate with the species disappearing from many of the few remaining sites where it was present in 2006 (Parks Australia North Christmas Island unpub. data).<br/><br/>In December 2008, the remaining <em>P. murrayi</em> population was thought to be restricted to a single foraging area and a single roost area (Lumsden and Schulz 2009). Although the remaining single known roost site had previously contained as many as 50 individuals, by January 2009 there were only four adults present. The behaviour of these individuals suggested that they were lactating females with four dependent young in the roost. The total population was then estimated to be fewer than 20 individuals in order to account for the possibility of small undetected colonies (Lumsden and Schulz 2009). Lumsden and Schulz (2009) stated that the January findings indicated that without urgent intervention there was an extremely high risk that the species would become extinct in the near future. While it could not be precisely predicted when this would occur if there was no intervention, it was predicted that this could occur within the following six months.<br/><br/>Unfortunately, this predicted extinction of the species was realised. After the January findings, approval was urgently sought to capture the remaining individuals for a captive breeding program, the details of which had been outlined in a feasibility report (Lumsden and Schulz 2009). Rather than acting immediately the Australian government established an Expert Working Group, and waited for its report in July 2009 (Beeton <em>et al</em>. 2009) before approving this intervention. In August 2009, a team of bat experts and captive breeding specialists attempted to take the remaining individuals into captivity. During the four weeks of intensive sampling, which employed 30 bat detectors each night to document the location of the remaining individuals, only one individual could be found, and despite extensive trapping efforts using standard and innovative techniques, it evaded all attempts to catch it (Lumsden 2009). On 27 August 2009 this individual also disappeared, and all survey and trapping attempts since that night have failed to detect the species. This is one of the few times that an extinction of a species in the wild can be marked to the day. The failure of the responsible agencies and managers to act quickly in response to the evidence of the rapid population decline is considered to have contributed to the extinction of this species (Lunney <em>et al</em>. 2011, Martin <em>et al</em>. 2012).",,"<span lang=""EN-AU"">This species was endemic to Christmas Island (<span lang=""EN-AU""><span lang=""EN-AU"">approximately 135 km² in area), <span lang=""EN-AU""><span lang=""EN-AU""><span lang=""EN-AU"">Australia, which is in the eastern Indian Ocean. Although this bat was once widespread on the island, the last known individuals were recorded in the far western section of the island with no records from the rest of the island for a number of years.</span></span></span>",,Terrestrial,"<p><em>Pipistrellus murrayi</em> is now extinct, as exhaustive surveys, using techniques that previously reliably detected the species, have been undertaken without success throughout its previously known range at appropriate times, habitat and locations, and over an appropriate time frame. A Recovery Plan for this species was prepared in 2004 (Schulz and Lumsden 2004). The plan’s implementation was reviewed by James and Retallick (2007), who considered that most actions had been implemented, although not sufficiently to determine the cause of the decline.<br/></p>",Indomalayan,27-Aug-09,FALSE,FALSE,Global
546008,14556,Neoplanorbis tantillus,Extinct,2012,"<em>Neoplanorbis tantillus</em> has been assessed as Extinct. It is believed to have been extinct since impoundment of the Coosa River, Alabama, to which it was formerly endemic (Mirarchi 2004) as it has not been found during any surveys.",This species formerly occurred in the Coosa River in shoal habitats (Mirarchi 2004).,"Past impoundment of its habitat was the main threat to this species and has ultimately led to its extinction. The Coosa River was impounded several times, first in 1914 (Lay Lake)   and most recently in 1967 (Lake Bouldin) (J. Cordeiro pers. comm. 2012).","Burch (1989) cites the Coosa River, Alabama, as the distribution of this species. It is now considered to be extinct following surveys of formerly known locations.",,"This species was formerly endemic to Coosa River, Alabama, but has not been reported despite surveys since the river was impounded (Mirarchi 2004).",This species was not utilized.,Freshwater (=Inland waters),This species has been assigned a NatureServe Global Heritage Status Rank of GX - Presumed Extinct (NatureServe 2009). There are no species-specific conservation measures in place.,Nearctic,,FALSE,FALSE,Global
546490,14882,Notropis aulidion,Extinct,2019,"<p><em>Notropis aulidion</em> was historically known only from a long, narrow reservoir of the Rio del Tunal in the upper Rio Mezquital drainage basin, Durango, Mexico. Despite extensive sampling attempts, this species was last recorded in 1961 and is now widely regarded as Extinct. </p>","<p>The historical habitat of this species was restricted to a single narrow reservoir at an elevation of 1865 m Asl, with minimal vegetation, a muddy substrate, low velocity flow and a water depth of 1 m (Miller <em>et al</em>. 1989, 2005). </p>","The extirpation of this species likely resulted from reduced streamflow, municipal and industrial pollution, and the effects of introduced nonnative species (e.g.&#160;<em>Micropterus salmoides</em>) following marked increases in the population and development of Durango City (Miller <em>et al</em>. 1989).",The historical population size of this species is unknown. It has not been reported since 1961 (Miller <em>et al</em>. 1989). Many surveys in the species' historical range and nearby areas have not reported the species.,,"<p><em>Notropis aulidion</em> was historically restricted to the Rio del Tunal in the upper Rio Mezquital drainage basin, Durango, Mexico (Chernoff and Miller 1986, Miller <em>et al</em>. 1989, Miller <em>et al.&#160;</em>2005). It was known from only two collections in a small reservoir (Miller <em>et al</em>. 2005). It was last recorded in 1961 despite multiple subsequent sampling attempts, and is now widely regarded as extinct (Miller <em>et al</em>. 2005, Jelks <em>et al</em>. 2008, Bennett and Conway 2010, Burkhead 2012). </p>",The historical use and trade of this species is unknown.,Freshwater (=Inland waters),There are no species-specific conservation measures in place for <em>N. aulidion</em> as it is considered extinct.,Nearctic,1961,FALSE,FALSE,Global
546742,14894,Notropis saladonis,Extinct,2019,"<p><em>Notropis saladonis</em> was historically distributed in the Rio Salado in Nuevo Leon and Coahuila, Mexico. Despite repeating attempts in 1988, 1995 and later, sampling efforts have failed to record this species. As such, it is listed as Extinct. </p>","<p>Historical habitat included low velocity waters in the main channel of the Rio Salado, and in turbid to clear water over bedrock covered by mud and sandy silts (Miller <em>et al.&#160;</em>2005). </p>",Major historical threats that resulted in the range-wide extirpation of this species are unknown.,There is no information on the historical population trends of <em>N. saladonis.</em>,,"The historical distribution of <em>Notropis saladonis</em> included the Rio Salado in Nuevo Leon and Coahuila, Mexico (Miller <em>et al.&#160;</em>2005). Miller <em>et al</em>. (2005) report four historical collection localities. Despite exhaustive surveys within the historical range of this species in 1988, 1995 and later, sampling efforts have failed to detect it. It is now widely regarded as extinct (Contreras-Balderas <em>et al</em>. 2003, Jelks <em>et al</em>. 2008, Bennett and Conway 2010, Burkhead 2012).",There is no information on the historical use and trade of this species.,Freshwater (=Inland waters),<p>There are currently no conservation actions directed towards this species as it is considered extinct. </p>,Nearctic,1988,FALSE,FALSE,Global
1451921,17689,Pleurobema perovatum,Extinct,2012,"Formerly distributed in the Coosa River system and the Conasauga River, <span style=""font-style: italic;"">Pleurobema perovatum</span> is believed to be Extinct, as it has not been recorded since the early 20th century despite appropriate searches throughout its range.","Little habitat information is available, although it has been collected in stretches of the Conasauga River where the normal depth is about one to two feet and where there is moderately strong current and a substrate composed of coarse sand and gravel (Parmalee and Bogan 1998). The species occured in riffles, runs and shoals of both small creeks and rivers (Williams <em>et al</em>. 2008). The species was a short-term brooder and was gravid during late spring and summer. With the species now being presumed extinct, the fish larval hosts are unknown, but some species of <em>Pleurobema</em> use fish of the Cyprinidae family (Haag and Warren 2003).",This species is now considered to be Extinct.,This species has not been reported since the early 20th century (Mirarchi 2004).,,"This species was formerly endemic to the Mobile River Basin in Alabama and Mississippi (Williams <span style=""font-style: italic;"">et al</span>. 2008), but is believed to be extinct (Mirarchi <span style=""font-style: italic;"">et al</span>. 2004). The species was widespread in the Mobile Basin, and was absent only in the Coosa and Tallapoosa River drainages above the Fall Line (Williams<em> et al</em>. 2008). In the Coosa River basin in Georgia, it is known historically from the Etowah and Conasauga River drainages, but it has not been collected there recently and is presumed extirpated (Williams and Hughes 1998). Recent survey efforts in Georgia and Tennessee in the bordering Conasauga River have uncovered no live or dead shells and this last potential holdout for the species appears to also be extinct (Parmalee and Bogan 1998, Neves <span style=""font-style: italic;"">et al</span>. 1997). The type locality is given as the Conasauga and Etowah Rivers in Georgia (Simpson 1914).",From available information it is unlikely that the species was utilised.,Freshwater (=Inland waters),This species is now considered to be Extinct. The species was listed as endangered throughout its range as long ago as 1970 (Athearn 1970).,Nearctic,early 20th century,FALSE,FALSE,Global
1496235,177724,Stagnicola pilsbryi,Extinct,2012,"<em>Stagnicola pilsbryi</em> has been assessed as Extinct. Live specimens of the species have not been collected since 1968, despite a targeted survey being carried out in 1990. Clarke (1991) believes that the species became extinct due to habitat decline due to abstraction of water and diversion of the spring that it formerly inhabited.",This species was found in freshwater springs (NatureServe 2009).,This species is considered to be extinct due to slash and burn activities in the 1970s and spring diversion and drainage (Clarke 1991). This species was only known from one spring and is unlikely to be found in any others.,NatureServe (2009) state that this species is extinct and that it was only known from the Utah type locality. (This is based on the assumption that <em>Stagnicola pilsbryi</em> is the same species as <em>Lymnaea pilsbryi).</em>,,"This species is only known from the type locality at Fish Spring, Juab County, Utah (Oliver and Bosworth 1999). No live specimens of the species have been collected since 1968 (J. Cordeiro pers. comm. 2012). Russell (1971) found shells in Fish Springs only, but he reported that some of the shells appeared to have been relatively fresh. Live individuals or fresh snails have not been found since then including a targeted survey by Clarke (1991) in 1990. Therefore, it is believed that the species is extinct and only known from the Utah type locality (J. Cordeiro pers. comm. 2012).&#160;Clarke (1991) believes this species is extinct due to slash and burn activities in 1970 and the diversion and drainage of the spring.",This species was not utilised.,Freshwater (=Inland waters),This species has been given a NatureServe Global Heritage Status Rank of GX - Extinct (NatureServe 2009).,Nearctic,1968,FALSE,FALSE,Global
1737167,18338,Prolagus sardus,Extinct,2019,"This species is extinct. Fossil remains indicate that it went extinct within the last 2,000 years, and historical reports suggest that it may have survived into the late 1700s or even later (Novak 1999).",There is an indication that this was a burrowing form of pika (Nowak 1999).,"Over-hunting for food, and predation and competition from introduced mammals, may have contributed to its demise (Nowak 1999).","There is anecdotal information that the Sardinian Pika may have been a  burrowing form of pika that was capable of reaching a high density  (Nowak 1999). Some believe that a small population persisted in the  central mountains of Sardinia until relatively recently, but there is no  evidence to support this (G. Amori pers. comm. 2006).",,"The Sardinian Pika was part of an anagenetic lineage (including <em>Prolagus  figaro</em>) that occupied Mediterranean islands since the earliest Late  Pliocene to the Holocene. Within this lineage, the Sardinian Pika  gradually increased in body mass to an estimated 504-525 g  (Moncunill-Soll <em>et al.</em> 2016). Contemporary fossil evidence of the  Sardinian Pika has been found on Corsica (France), Sardinia (Italy),  and adjacent small Mediterranean islands (Angelone <em>et al.</em> 2008,  Angelone and Cermak 2015). Skeletal remains indicate that it was still  present on Corsica and Sardinia within the last 2,000 years, and F.  Cetti's 1774 report of ""giant rats whose burrows are so abundant that  one might think the surface of the soil has been turned over by pigs"" on  the islet of Tavolara may refer to this species (Nowak 1999). It is  thus possible that the species survived until the late 1700s or even  later, although this has not been conclusively proven. The Sardinian  Pika is also known from earlier fossil material found on the mainland of  Italy (Nowak 1999).",,Terrestrial,,Palearctic,1700,FALSE,FALSE,"Global, Europe & Mediterranean"
1970358,191116,Atherinella callida,Extinct,2019,"<em><em>Atherinella callida</em> </em>was a narrow endemic freshwater fish species known only from a single collection taken at Refugio, Veracruz, Mexico just west-north-west of Acatlan (Eschmeyer 1998, Chernoff 1986). The species has not been reported from the wild since 1957 (Burkhead 2012). Over the last fifty years there have been several comprehensive surveys but all the attempts (with Dr. and Mrs. Robert Rush Miller in February, 1982) to capture this species in the vicinity of Refugio and in the Rio Amapa (also tributary to the Rio Tonto) were unsuccessful (Chernoff 1986). A continuing decline of the species' habitat quality has been reported as a result of water pollution from urban and industrial discharges and agricultural run-off, increased sedimentation, dewatering, and anthropogenic modifications to natural channels and flow regimes due to the construction of large dams within the species distribution range (Harrison &amp; Stiassny 1999,&#160; Jelks, <em>et al</em>. 2008, Garrido <em>et al</em>. 2010). Based on these observations and the survey effort, the species is assessed as Extinct.","Very little is known about this freshwater riverine species, other than inhabiting rocky-bottomed waters, with a maximum known size of 55 mm (SL) (Miller&#160;2005).","The specific threats which caused and related to the extinction of <em>Atherinella callida</em> are thought to be a direct result of habitat loss and degradation, including perturbations caused by factors such as sedimentation, water pollution from urban and industrial discharges and agricultural run-off, dewatering, and anthropogenic modifications to  natural channels and flow regimes, as a result of the construction of large dams within the species distribution range (Harrison &amp; Stiassny 1999, Jelks&#160;<em>et al</em>. 2008, Garrido<em> et al</em>. 2010).",This species is thought to be extinct.,,"<em>Atherinella callida</em> is a narrow endemic known only from a single collection taken at Refugio, Veracruz, Mexico just west north west of Acatlan (Eschmeyer 1998 Chernoff, 1986). The streams around Refugio drain into the Rio Tonto, a tributary to the Rio Papaloapan. There have been several comprehensive surveys over the last fifty years but all the attempts (with Dr. and Mrs. Robert Rush Miller in February, 1982) to capture this species in the vicinity of Refugio and in the Rio Amapa (also tributary to the Rio Tonto) were unsuccessful (Chernoff 1986). The species has not been reported from the wild since 1957, which is considered the estimated year of extinction (Burkhead 2012).",<em>Atherinella callida </em>is believed to be extinct.,Freshwater (=Inland waters),<em>Atherinella callida </em>is believed to be extinct.,Neotropical,1957,FALSE,FALSE,Global
2381395,195373,Acalypha dikuluwensis,Extinct,2012,"<span style=""font-style: italic;"">Acalypha dikuluwensis</span> was strictly endemic to copper-rich soil (i.e., it is an absolute metallophyte) in Katanga, Democratic Republic of Congo. Its habitat was restricted to steppic savanna in copper outcrops, which was destroyed by surface mining activities. Despite intensive fieldwork in the entire copperbelt region, no individuals were found after 1959. Based on these observations, this species is listed as presumed Extinct.","This plant was strictly endemic to copper-rich soil (i.e., it was an  absolute metallophyte). Its natural habitat was steppe  savanna, where it was found growing in copper outcrops. This habitat, which is naturally enriched with copper, is of rare occurrence.<br/> <br/> In the Katangan Copper Belt area, mineralised rocks appear as rounded  hills, typically a few tenths of meters above the level of the  surrounding non-mineralised areas, and most are typically a few tenths  of hectares in area, rarely exceeding 1 km² (Faucon <span style=""font-style: italic;"">et al</span>. 2010). The distance between nearby hills varies from less than a few hundred meters to more than 20 km (Faucon <span style=""font-style: italic;"">et al</span>. 2010).","This species' extinction was caused by habitat destruction as a result of mining activities, particularly by extraction surface mining.",This species is now believed to be Extinct.,,"This species was endemic to the Katangan Copperbelt area in the Democratic Republic of the Congo. It was known from only one location (Dikuluwe, 10°43'312 25°22'833) with a very restricted range (extent of occurrence was estimated to be 1 km², and area of occupancy was estimated as 0.1 km²). It is now thought to be Extinct.",,Terrestrial,This species was not protected by any national legislation. It is now considered Extinct.,Afrotropical,1959,FALSE,FALSE,Global
