internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName
13013,Megupsilon aporus,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINODONTIFORMES,CYPRINODONTIDAE,Megupsilon,aporus
136769,Pipistrellus murrayi,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,murrayi
14556,Neoplanorbis tantillus,ANIMALIA,MOLLUSCA,GASTROPODA,HYGROPHILA,PLANORBIDAE,Neoplanorbis,tantillus
14882,Notropis aulidion,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Notropis,aulidion
14894,Notropis saladonis,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Notropis,saladonis
17689,Pleurobema perovatum,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,Pleurobema,perovatum
177724,Stagnicola pilsbryi,ANIMALIA,MOLLUSCA,GASTROPODA,HYGROPHILA,LYMNAEIDAE,Stagnicola,pilsbryi
18338,Prolagus sardus,ANIMALIA,CHORDATA,MAMMALIA,LAGOMORPHA,PROLAGIDAE,Prolagus,sardus
191116,Atherinella callida,ANIMALIA,CHORDATA,ACTINOPTERYGII,ATHERINIFORMES,ATHERINOPSIDAE,Atherinella,callida
195373,Acalypha dikuluwensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,EUPHORBIACEAE,Acalypha,dikuluwensis
195376,Basananthe cupricola,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,PASSIFLORACEAE,Basananthe,cupricola
196286,Thomasettia seychellana,ANIMALIA,ARTHROPODA,ARACHNIDA,ARANEAE,SPARASSIDAE,Thomasettia,seychellana
196288,Pleorotus braueri,ANIMALIA,ARTHROPODA,ARACHNIDA,ARANEAE,SPARASSIDAE,Pleorotus,braueri
196290,Stipax triangulifer,ANIMALIA,ARTHROPODA,ARACHNIDA,ARANEAE,SPARASSIDAE,Stipax,triangulifer
197874,Macrobrachium leptodactylus,ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,PALAEMONIDAE,Macrobrachium,leptodactylus
199495,Margatteoidea amoena,ANIMALIA,ARTHROPODA,INSECTA,BLATTODEA,BLATTELLIDAE,Margatteoidea,amoena
199821,Acalypha wilderi,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,EUPHORBIACEAE,Acalypha,wilderi
201462,Dicrogonatus gardineri,ANIMALIA,ARTHROPODA,ARACHNIDA,HOLOTHYROIDAE,HOLOTHYRIDAE,Dicrogonatus,gardineri
201472,Eucarlia alluaudi,ANIMALIA,ARTHROPODA,DIPLOPODA,SPIROBOLIDA,PACHYBOLIDAE,Eucarlia,alluaudi
