"order","r","g","b","region","col","max"
1,"255","0","0","North America","#FF0000",9.762704
2,"210","150","12","Africa","#D2960C",7.090771
3,"125","175","0","Europe","#7DAF00",13.578873
4,"117","0","255","Soviet Union","#7500FF",7.425738
5,"160","0","125","West Asia","#A0007D",9.369817
6,"29","100","255","South Asia","#1D64FF",1.667544
7,"0","255","233","East Asia","#00FFE9",11.289476
8,"73","255","100","South East Asia","#49FF64",3.893696
9,"100","146","125","Oceania","#64927D",4.350232
10,"255","219","0","Latin America","#FFDB00",8.917779
