Id,name
Energy,Energy
Industrial Processes,Industrial Processes
Electricity and heat,Electricity and heat
Industry,Industry
Land Use Change,Land Use Change
Agriculture,Agriculture
Waste,Waste
Transportation,Transportation
Other Fuel Combustion,Other Fuel Combustion
Fugitive Emissions,Fugitive Emissions
Road,Road
Air,Air
Rail - Ship and Other Transport,Rail - Ship and Other Transport
Residential Buildings,Residential Buildings
Commercial Buildings,Commercial Buildings
Unallocated Fuel Combustion,Unallocated Fuel Combustion
Iron and Steel,Iron and Steel
Aluminium Non-Ferrous Metals,Aluminium Non-Ferrous Metals
Machinery,Machinery
Pulp - Paper and Printing,Pulp - Paper and Printing
Food and Tobacco,Food and Tobacco
Chemicals,Chemicals
Cement,Cement
Other Industry,Other Industry
T and D Losses,T and D Losses
Coal Mining,Coal Mining
Oil and Gas Processing,Oil and Gas Processing
Deforestation,Deforestation
Harvest / Management,Harvest / Management
Agricultural Energy Use,Agricultural Energy Use
Agriculture Soils,Agriculture Soils
Livestock and Manure,Livestock and Manure
Rice Cultivation,Rice Cultivation
Other Agriculture,Other Agriculture
Landfills,Landfills
Waste water - Other Waste,Waste water - Other Waste
Carbon Dioxide,Carbon Dioxide
HFCs - PFCs,HFCs - PFCs
Methane,Methane
Nitrous Oxide,Nitrous Oxide
